Date,Vol
2011-06-18,23.0
2011-06-19,31.0
2011-06-20,518.0
2011-06-21,513.0
2011-06-22,12.0
2011-06-23,1.0
2011-06-24,382.0
2011-06-25,91.0
2011-06-26,14.0
2011-06-27,62.0
2011-06-28,14.0
2011-06-29,0.0
2011-06-30,1.0
2011-07-01,21.0
2011-07-02,2.0
2011-07-03,21.0
2011-07-04,32.0
2011-07-05,40.0
2011-07-06,62.0
2011-07-07,0.0
2011-07-08,7.0
2011-07-09,27.0
2011-07-10,9.0
2011-07-11,15.0
2011-07-12,0.0
2011-07-13,1.0
2011-07-14,6.0
2011-07-15,17.0
2011-07-16,30.0
2011-07-17,2.0
2011-07-18,5.0
2011-07-19,1.0
2011-07-20,46.0
2011-07-21,10.0
2011-07-22,2.0
2011-07-23,11.0
2011-07-24,1.0
2011-07-25,10.0
2011-07-26,47.0
2011-07-27,65.0
2011-07-28,40.0
2011-07-29,9.0
2011-07-30,17.0
2011-07-31,18.0
2011-08-01,85.0
2011-08-02,62.0
2011-08-03,15.0
2011-08-04,5.0
2011-08-05,30.0
2011-08-06,57.0
2011-08-07,18.0
2011-08-08,85.0
2011-08-09,38.0
2011-08-10,44.0
2011-08-11,193.0
2011-08-12,59.0
2011-08-13,59.0
2011-08-14,119.0
2011-08-15,58.0
2011-08-16,141.0
2011-08-17,213.0
2011-08-18,103.0
2011-08-19,211.0
2011-08-20,3.0
2011-08-21,0.0
2011-08-22,11.0
2011-08-23,19.0
2011-08-24,7.0
2011-08-25,0.0
2011-08-26,72.0
2011-08-27,3.0
2011-08-28,5.0
2011-08-29,71.0
2011-08-30,30.0
2011-08-31,86.0
2011-09-01,12.0
2011-09-02,10.0
2011-09-03,23.25
2011-09-04,36.5
2011-09-05,49.75
2011-09-06,63.0
2011-09-07,56.0
2011-09-08,63.0
2011-09-09,0.0
2011-09-10,152.0
2011-09-11,162.0
2011-09-12,19.0
2011-09-13,489.0
2011-09-14,345.0
2011-09-15,30.0
2011-09-16,48.0
2011-09-17,28.0
2011-09-18,371.0
2011-09-19,50.0
2011-09-20,147.0
2011-09-21,8.0
2011-09-22,92.0
2011-09-23,24.0
2011-09-24,49.0
2011-09-25,15.0
2011-09-26,43.0
2011-09-27,0.0
2011-09-28,463.0
2011-09-29,418.0
2011-09-30,210.0
2011-10-01,8.0
2011-10-02,78.0
2011-10-03,97.0
2011-10-04,5.0
2011-10-05,17.0
2011-10-06,84.0
2011-10-07,22.0
2011-10-08,11.0
2011-10-09,24.0
2011-10-10,15.0
2011-10-11,3.0
2011-10-12,9.0
2011-10-13,28.0
2011-10-14,14.0
2011-10-15,16.0
2011-10-16,4.0
2011-10-17,25.0
2011-10-18,48.0
2011-10-19,133.0
2011-10-20,5.0
2011-10-21,18.0
2011-10-22,52.0
2011-10-23,53.0
2011-10-24,65.0
2011-10-25,121.0
2011-10-26,132.0
2011-10-27,176.0
2011-10-28,217.0
2011-10-29,40.0
2011-10-30,9.0
2011-10-31,165.0
2011-11-01,18.0
2011-11-02,170.0
2011-11-03,15.0
2011-11-04,48.0
2011-11-05,33.0
2011-11-06,16.0
2011-11-07,13.0
2011-11-08,23.0
2011-11-09,163.0
2011-11-10,107.0
2011-11-11,25.0
2011-11-12,43.0
2011-11-13,32.0
2011-11-14,28.0
2011-11-15,43.0
2011-11-16,10.0
2011-11-17,10.0
2011-11-18,42.0
2011-11-19,31.0
2011-11-20,5.0
2011-11-21,26.0
2011-11-22,128.0
2011-11-23,54.0
2011-11-24,55.666666666666664
2011-11-25,57.333333333333336
2011-11-26,59.0
2011-11-27,59.0
2011-11-28,13.0
2011-11-29,111.0
2011-11-30,25.0
2011-12-01,7.0
2011-12-02,168.0
2011-12-03,64.0
2011-12-04,182.0
2011-12-05,25.0
2011-12-06,27.0
2011-12-07,160.0
2011-12-08,7.0
2011-12-09,114.0
2011-12-10,14.0
2011-12-11,103.0
2011-12-12,101.0
2011-12-13,7.0
2011-12-14,5.0
2011-12-15,9.375
2011-12-16,13.75
2011-12-17,18.125
2011-12-18,22.5
2011-12-19,26.875
2011-12-20,31.25
2011-12-21,35.625
2011-12-22,40.0
2011-12-23,44.375
2011-12-24,48.75
2011-12-25,53.125
2011-12-26,57.5
2011-12-27,61.875
2011-12-28,66.25
2011-12-29,70.625
2011-12-30,75.0
2011-12-31,79.375
2012-01-01,83.75
2012-01-02,88.125
2012-01-03,92.5
2012-01-04,96.875
2012-01-05,101.25
2012-01-06,105.625
2012-01-07,110.0
2012-01-08,3.0
2012-01-09,43.0
2012-01-10,8.0
2012-01-11,56.0
2012-01-12,17.0
2012-01-13,35.0
2012-01-14,93.0
2012-01-15,8.0
2012-01-16,48.0
2012-01-17,1.0
2012-01-18,3.0
2012-01-19,15.0
2012-01-20,3.0
2012-01-21,41.0
2012-01-22,32.0
2012-01-23,118.0
2012-01-24,204.0
2012-01-25,11.0
2012-01-26,101.0
2012-01-27,86.0
2012-01-28,134.0
2012-01-29,146.0
2012-01-30,106.0
2012-01-31,0.0
2012-02-01,100.0
2012-02-02,104.0
2012-02-03,221.0
2012-02-04,60.0
2012-02-05,288.0
2012-02-06,189.0
2012-02-07,250.0
2012-02-08,216.0
2012-02-09,139.0
2012-02-10,32.0
2012-02-11,347.0
2012-02-12,118.0
2012-02-13,90.0
2012-02-14,234.0
2012-02-15,14.0
2012-02-16,73.0
2012-02-17,509.0
2012-02-18,87.0
2012-02-19,89.0
2012-02-20,7.0
2012-02-21,63.0
2012-02-22,214.0
2012-02-23,26.0
2012-02-24,246.0
2012-02-25,135.0
2012-02-26,138.22222222222223
2012-02-27,141.44444444444446
2012-02-28,144.66666666666666
2012-02-29,147.88888888888889
2012-03-01,151.11111111111111
2012-03-02,154.33333333333334
2012-03-03,157.55555555555554
2012-03-04,160.77777777777777
2012-03-05,164.0
2012-03-06,46.0
2012-03-07,155.0
2012-03-08,157.0
2012-03-09,45.0
2012-03-10,161.0
2012-03-11,57.0
2012-03-12,26.0
2012-03-13,229.0
2012-03-14,74.0
2012-03-15,192.0
2012-03-16,121.0
2012-03-17,228.0
2012-03-18,161.0
2012-03-19,39.0
2012-03-20,14.0
2012-03-21,32.0
2012-03-22,50.0
2012-03-23,68.0
2012-03-24,35.0
2012-03-25,40.0
2012-03-26,25.0
2012-03-27,84.0
2012-03-28,51.0
2012-03-29,8.0
2012-03-30,72.0
2012-03-31,85.0
2012-04-01,65.0
2012-04-02,9.0
2012-04-03,413.0
2012-04-04,188.0
2012-04-05,32.0
2012-04-06,174.0
2012-04-07,192.0
2012-04-08,76.0
2012-04-09,30.0
2012-04-10,291.0
2012-04-11,340.0
2012-04-12,194.0
2012-04-13,119.0
2012-04-14,175.0
2012-04-15,99.0
2012-04-16,38.0
2012-04-17,1.0
2012-04-18,0.0
2012-04-19,85.0
2012-04-20,17.0
2012-04-21,23.0
2012-04-22,11.0
2012-04-23,12.0
2012-04-24,120.0
2012-04-25,31.0
2012-04-26,17.0
2012-04-27,7.0
2012-04-28,17.0
2012-04-29,59.0
2012-04-30,165.0
2012-05-01,7.0
2012-05-02,6.0
2012-05-03,140.0
2012-05-04,133.0
2012-05-05,0.0
2012-05-06,350.0
2012-05-07,241.0
2012-05-08,37.0
2012-05-09,98.0
2012-05-10,32.0
2012-05-11,110.0
2012-05-12,199.0
2012-05-13,163.0
2012-05-14,597.0
2012-05-15,118.0
2012-05-16,102.0
2012-05-17,116.0
2012-05-18,113.0
2012-05-19,83.0
2012-05-20,160.0
2012-05-21,121.0
2012-05-22,149.0
2012-05-23,8.0
2012-05-24,84.0
2012-05-25,95.0
2012-05-26,273.0
2012-05-27,35.0
2012-05-28,41.0
2012-05-29,2.0
2012-05-30,8.0
2012-05-31,731.0
2012-06-01,732.0
2012-06-02,944.0
2012-06-03,460.0
2012-06-04,943.0
2012-06-05,71.0
2012-06-06,68.0
2012-06-07,72.0
2012-06-08,21.0
2012-06-09,54.0
2012-06-10,431.0
2012-06-11,488.0
2012-06-12,341.0
2012-06-13,95.0
2012-06-14,246.0
2012-06-15,4.0
